fdc_id,english_name,russian_name,1003,1004,1005,1008,1018,1051,1057,1058,1079,1087,1089,1090,1091,1092,1093,1095,1098,1103,1105,1106,1107,1108,1109,1114,1120,1122,1123,1162,1165,1166,1167,1175,1177,1178,1180,1185,1186,1187,1190,1242,1246,1253,1258,1259,1260,1261,1262,1263,1264,1265,1266,1268,1269,1270,1271,1272,1275,1276,1277,1278,1279,1280,1292,1293,2000
1097539,"Milk, evaporated, fat free (skim)",,7.55,0.2,11.35,78,0.0,79.4,0,0,0.0,290,0.29,27,195,332,115,0.9,0.016,2.5,118,118,0,0,0.0,2.0,0,0,0,1.2,0.045,0.309,0.174,0.055,9,0.24,25.2,0.0,0,9,9,0.0,0.0,4,0.121,0.005,0.004,0.001,0.003,0.004,0.019,0.054,0.024,0.056,0.004,0.002,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.062,0.006,11.35
1097540,"Milk, condensed, sweetened",,7.91,8.7,54.4,321,0.0,27.16,0,0,0.0,284,0.19,26,253,371,127,0.94,0.015,14.8,73,74,14,0,0.16,0.2,0,0,0,2.6,0.09,0.416,0.21,0.051,11,0.44,89.1,0.6,0,11,11,0.0,0.0,34,5.486,0.282,0.167,0.097,0.073,0.18,0.783,2.396,1.209,2.188,0.216,0.121,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,2.427,0.337,54.4
1097541,"Non-dairy milk, NFS",,1.04,1.17,3.75,29,0.0,93.33,0,0,0.2,164,0.32,8,19,80,60,0.12,0.062,0.8,77,77,1,0,1.8,1.0,0,0,0,0.0,0.009,0.062,0.171,0.009,3,0.29,9.0,0.9,0,3,3,1.76,0.29,0,0.237,0.0,0.001,0.01,0.008,0.063,0.027,0.098,0.034,0.446,0.333,0.022,0.0,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.485,0.408,3.03
1097542,Soy milk,,2.6,1.47,4.92,43,0.0,90.36,0,0,0.2,123,0.42,15,43,122,47,0.26,0.165,2.3,55,55,2,0,0.11,1.1,0,0,0,0.0,0.029,0.184,0.425,0.031,9,0.85,23.6,3.0,0,9,9,0.0,0.85,0,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.31,0.584,0.075,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.382,0.858,3.65
1097543,"Soy milk, light",,2.38,0.77,3.51,30,0.0,92.69,0,0,0.3,123,0.43,15,87,117,48,0.23,0.086,2.3,61,61,1,0,0.06,1.2,0,0,0,0.0,0.037,0.201,0.222,0.016,9,1.0,12.3,1.6,0,9,9,0.0,1.0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.196,0.378,0.049,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.202,0.426,2.61
1097544,"Soy milk, nonfat",,2.47,0.04,4.14,28,0.0,92.67,0,0,0.2,116,0.35,10,87,105,57,0.1,0.125,1.8,61,61,1,0,0.08,1.0,0,0,0,0.0,0.022,0.174,0.323,0.024,7,0.23,17.9,2.3,0,7,7,0.0,0.23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,3.65
1097545,"Soy milk, chocolate",,2.26,1.53,9.95,63,0.0,85.61,2,23,0.4,126,0.48,15,51,143,53,0.34,0.206,4.8,70,70,2,0,0.11,1.0,0,0,0,1.7,0.022,0.262,0.513,0.077,11,0.7,23.6,3.0,0,11,11,0.0,0.7,0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.05,0.31,0.584,0.075,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.379,0.836,7.86
1097546,"Soy milk, light, chocolate",,2.1,0.64,8.24,47,0.0,88.38,2,19,0.7,123,0.59,15,87,144,46,0.23,0.199,1.7,61,61,2,0,0.13,1.2,0,0,0,0.0,0.037,0.201,0.512,0.037,9,1.0,28.4,3.6,0,9,9,0.0,1.0,0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.008,0.035,0.358,0.046,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.037,0.405,7.13
1097547,"Soy milk, nonfat, chocolate",,2.1,0.64,8.24,47,0.0,88.38,2,19,0.7,123,0.59,15,87,144,46,0.23,0.199,1.7,61,61,2,0,0.13,1.2,0,0,0,0.0,0.037,0.201,0.512,0.037,9,1.0,28.4,3.6,0,9,9,0.0,1.0,0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.008,0.035,0.358,0.046,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.037,0.405,7.13
1097548,"Almond milk, sweetened",,0.38,0.93,5.24,30,0.0,92.68,0,0,0.2,177,0.27,6,9,64,69,0.06,0.019,0.1,86,86,0,0,2.7,1.0,0,0,0,0.0,0.0,0.01,0.067,0.0,1,0.0,3.0,0.0,0,1,1,2.7,0.0,0,0.077,0.0,0.0,0.0,0.0,0.0,0.003,0.063,0.018,0.54,0.242,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.566,0.23,4.77
1097549,"Almond milk, sweetened, chocolate",,0.43,0.95,8.34,41,0.0,89.52,1,6,0.3,171,0.3,7,11,67,67,0.08,0.03,0.2,83,83,0,0,2.61,0.9,0,0,0,0.0,0.0,0.011,0.071,0.0,1,0.0,2.9,0.0,0,1,1,2.6,0.0,0,0.098,0.0,0.0,0.0,0.0,0.0,0.003,0.072,0.03,0.536,0.235,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.561,0.224,7.72
1097550,"Almond milk, unsweetened",,0.4,0.96,1.31,15,0.0,96.54,0,0,0.2,184,0.28,6,9,67,72,0.06,0.02,0.1,90,90,0,0,2.81,1.0,0,0,0,0.0,0.0,0.01,0.07,0.0,1,0.0,3.1,0.0,0,1,1,2.81,0.0,0,0.08,0.0,0.0,0.0,0.0,0.0,0.003,0.066,0.019,0.563,0.252,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.59,0.24,0.81
1097551,"Almond milk, unsweetened, chocolate",,0.46,1.0,1.48,16,0.0,96.26,1,6,0.3,184,0.32,7,11,71,72,0.08,0.031,0.1,90,90,0,0,2.8,1.0,0,0,0,0.0,0.0,0.011,0.076,0.0,1,0.0,3.1,0.0,0,1,1,2.8,0.0,0,0.104,0.0,0.0,0.0,0.0,0.0,0.003,0.077,0.032,0.575,0.253,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.602,0.241,0.81
1097552,Rice milk,,0.28,0.97,9.17,47,0.0,89.28,0,0,0.3,118,0.2,11,56,27,39,0.13,0.037,2.2,63,63,0,0,0.47,1.0,0,0,0,0.0,0.027,0.142,0.39,0.039,2,0.63,2.1,0.2,0,2,2,0.13,0.63,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,0.305,0.008,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.625,0.313,5.28
1097553,Coconut milk,,0.21,2.08,2.92,31,0.0,94.57,0,0,0.0,188,0.3,0,0,19,19,0.0,0.0,0.0,63,63,0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.63,0.0,0.0,0,0,0,0.0,0.63,0,2.083,0.0,0.013,0.165,0.131,1.042,0.411,0.199,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
1097554,"Yogurt, NFS",,5.25,1.55,7.04,63,0.0,85.06,0,0,0.0,183,0.08,17,144,234,70,0.89,0.013,3.3,14,14,2,0,0.03,1.2,0,0,0,0.8,0.044,0.214,0.114,0.049,11,0.56,15.2,0.2,0,11,11,0.0,0.0,6,1.0,0.046,0.032,0.02,0.044,0.053,0.163,0.422,0.151,0.354,0.031,0.013,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.426,0.044,7.04
1097555,"Yogurt, Greek, NS as to type of milk or flavor",,9.95,1.92,3.94,73,0.0,83.56,0,0,0.0,115,0.04,11,137,141,34,0.6,0.021,12.4,90,90,6,0,0.04,0.0,0,0,1,0.8,0.044,0.233,0.197,0.055,12,0.52,15.2,0.2,0,12,12,0.0,0.0,10,1.23,0.047,0.035,0.024,0.067,0.062,0.194,0.57,0.195,0.427,0.065,0.007,0.002,0.0,0.031,0.0,0.004,0.0,0.0,0.0,0.486,0.076,3.56
1097556,"Yogurt, NS as to type of milk or flavor",,5.25,1.55,7.04,63,0.0,85.06,0,0,0.0,183,0.08,17,144,234,70,0.89,0.013,3.3,14,14,2,0,0.03,1.2,0,0,0,0.8,0.044,0.214,0.114,0.049,11,0.56,15.2,0.2,0,11,11,0.0,0.0,6,1.0,0.046,0.032,0.02,0.044,0.053,0.163,0.422,0.151,0.354,0.031,0.013,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.426,0.044,7.04
1097557,"Yogurt, NS as to type of milk, plain",,5.25,1.55,7.04,63,0.0,85.06,0,0,0.0,183,0.08,17,144,234,70,0.89,0.013,3.3,14,14,2,0,0.03,1.2,0,0,0,0.8,0.044,0.214,0.114,0.049,11,0.56,15.2,0.2,0,11,11,0.0,0.0,6,1.0,0.046,0.032,0.02,0.044,0.053,0.163,0.422,0.151,0.354,0.031,0.013,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.426,0.044,7.04
1097558,"Yogurt, whole milk, plain",,3.47,3.25,4.66,61,0.0,87.89,0,0,0.0,121,0.05,12,95,155,46,0.59,0.009,2.2,27,27,5,0,0.06,1.2,0,0,0,0.5,0.029,0.142,0.075,0.032,7,0.37,15.2,0.2,0,7,7,0.0,0.0,13,2.096,0.096,0.066,0.042,0.093,0.111,0.343,0.886,0.317,0.743,0.065,0.027,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.893,0.092,4.66
1097559,"Yogurt, low fat milk, plain",,5.25,1.55,7.04,63,0.0,85.06,0,0,0.0,183,0.08,17,144,234,70,0.89,0.013,3.3,14,14,2,0,0.03,1.2,0,0,0,0.8,0.044,0.214,0.114,0.049,11,0.56,15.2,0.2,0,11,11,0.0,0.0,6,1.0,0.046,0.032,0.02,0.044,0.053,0.163,0.422,0.151,0.354,0.031,0.013,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.426,0.044,7.04
1097560,"Yogurt, nonfat milk, plain",,5.73,0.18,7.68,56,0.0,85.22,0,0,0.0,199,0.09,19,157,255,77,0.97,0.015,3.6,2,2,0,0,0.0,1.2,0,0,0,0.9,0.048,0.234,0.124,0.053,12,0.61,15.2,0.2,0,12,12,0.0,0.0,2,0.116,0.005,0.004,0.002,0.005,0.006,0.019,0.049,0.018,0.041,0.004,0.001,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.049,0.005,7.68
1097561,"Yogurt, Greek, NS as to type of milk, plain",,9.95,1.92,3.94,73,0.0,83.56,0,0,0.0,115,0.04,11,137,141,34,0.6,0.021,12.4,90,90,6,0,0.04,0.0,0,0,1,0.8,0.044,0.233,0.197,0.055,12,0.52,15.2,0.2,0,12,12,0.0,0.0,10,1.23,0.047,0.035,0.024,0.067,0.062,0.194,0.57,0.195,0.427,0.065,0.007,0.002,0.0,0.031,0.0,0.004,0.0,0.0,0.0,0.486,0.076,3.56
1097562,"Yogurt, Greek, whole milk, plain",,9.0,5.0,3.98,97,0.0,81.3,0,0,0.0,100,0.0,11,135,141,35,0.52,0.017,9.7,1,2,7,0,0.01,0.0,0,0,0,0.0,0.023,0.278,0.208,0.063,5,0.75,15.1,0.0,0,5,5,0.0,0.0,13,2.395,0.0,0.051,0.086,0.264,0.127,0.316,1.0,0.422,0.993,0.209,0.023,0.0,0.004,0.049,0.0,0.034,0.0,0.0,0.0,2.136,0.469,4.0
1097563,"Yogurt, Greek, low fat milk, plain",,9.95,1.92,3.94,73,0.0,83.56,0,0,0.0,115,0.04,11,137,141,34,0.6,0.021,12.4,90,90,6,0,0.04,0.0,0,0,1,0.8,0.044,0.233,0.197,0.055,12,0.52,15.2,0.2,0,12,12,0.0,0.0,10,1.23,0.047,0.035,0.024,0.067,0.062,0.194,0.57,0.195,0.427,0.065,0.007,0.002,0.0,0.031,0.0,0.004,0.0,0.0,0.0,0.486,0.076,3.56
1097564,"Yogurt, Greek, nonfat milk, plain",,10.3,0.37,3.64,61,0.0,85.0,0,0,0.0,111,0.07,11,136,141,36,0.53,0.017,9.9,1,1,0,0,0.01,0.0,0,0,0,0.0,0.022,0.281,0.211,0.064,7,0.7,15.1,0.0,0,7,7,0.0,0.0,5,0.108,0.0,0.002,0.004,0.012,0.006,0.014,0.045,0.02,0.044,0.01,0.001,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.043,0.011,3.27
